Provider Org Name,rate_18_plus,rate_52_plus,rate_78_plus,Total
"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",0.5786405245632317,0.370677741292037,0.0,36.2
BESPOKE HEALTHCARE LTD,0.5638646288209607,0.2990584061135371,0.0,261.0
OXLEAS NHS FOUNDATION TRUST,0.5617315213415491,0.25713863666509906,0.0,1048.3333333333333
"NUFFIELD HEALTH, EXETER HOSPITAL",0.5781113870598363,0.2518469334013868,0.12634805313463982,102.73333333333333
"NUFFIELD HEALTH, TAUNTON HOSPITAL",0.6339793574591089,0.1630600391609589,0.0,113.14285714285714
PIONEER HEALTHCARE LIMITED,0.5371411114203695,0.15689027011747722,0.002160620033250655,54.3448275862069
LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0.5483328615129557,0.1421665794725098,4.373933234698272e-05,329.0275229357798
"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",0.7615633423180592,0.13160173160173158,0.0,31.2
MID AND SOUTH ESSEX NHS FOUNDATION TRUST,0.4745701509861476,0.12667917489853756,0.01721539099318987,813.0456204379562
"NUFFIELD HEALTH, WOKING HOSPITAL",0.27458767628439346,0.10726364607909696,0.03593354612668208,33.1578947368421
"NUFFIELD HEALTH, BRIGHTON HOSPITAL",0.4619669046765479,0.10271219894877803,0.015545188510006282,77.4375
SPIRE LEICESTER HOSPITAL,0.5427489227092134,0.09887092887353494,0.0065359477124183,169.52941176470588
KIMS HOSPITAL (NEWNHAM COURT),0.23032375972943722,0.09471811278166536,0.0,219.29166666666666
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.4767810664964389,0.09388361461041253,0.005308136866529132,1203.3698630136987
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,0.5415666814334884,0.08966805004557978,0.01381318534798786,776.2635135135135
BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,0.49776650753101914,0.08903298431490973,0.0,525.0845771144278
THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0.5341738518668678,0.08778233283311958,0.009092958213444495,383.3556701030928
THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,0.46408913383577677,0.08680156834352536,0.001376686092670648,535.5141242937854
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,0.5001939368329806,0.08673714299148158,0.028799261984102636,692.8924050632911
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,0.4915779668944665,0.0846921466087103,0.00010525935134008669,1049.1986531986531
NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.4649308146577399,0.0846107345094056,0.0004299616139115009,1027.120218579235
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0.45278974670985256,0.08404061292395262,0.0004394035515062334,498.53179190751445
NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,0.5028877244865141,0.08340113273471852,0.0008357327211397399,519.8721461187215
SPRINGFIELD HOSPITAL,0.38088715040689003,0.08153568761114321,0.0017337150611853867,169.47826086956522
NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,0.45696815808282965,0.07946663772052874,0.0,1226.3820224719102
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,0.48332471113884773,0.0792263060970127,1.621525097111178e-05,721.5
MANOR HOSPITAL,0.6801843030672896,0.07894470207669564,0.0,82.8125
HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,0.46320228098883864,0.07885348883798805,0.00029637080778486554,537.5271867612294
BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,0.34404761904761905,0.07765151515151515,0.0,206.0
CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,0.6039342113285775,0.06968833201227567,0.0,93.33333333333333
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,0.4779129029188347,0.06872972862613573,0.002065179958347953,871.9924812030075
SOMERSET NHS FOUNDATION TRUST,0.4052852484298109,0.06838836491333941,4.727100491416061e-05,785.9948186528497
WEST SUFFOLK NHS FOUNDATION TRUST,0.44493573998675506,0.06655598042414189,0.0007991769630778793,463.8021978021978
LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,0.5134487369741247,0.065350044418634,3.960910912971355e-05,365.7300884955752
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,0.47143797351900624,0.06336412193376655,0.00011836727431477107,727.0702179176756
NUFFIELD HEALTH PARKSIDE HOSPITAL,0.2919264267071353,0.06230253770850241,0.03863668931094288,85.34615384615384
"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",0.5968160985223339,0.06186844482981383,0.0009089931603703428,48.24390243902439
WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,0.44884838645188846,0.061742057964494064,0.0,774.8874172185431
CROYDON HEALTH SERVICES NHS TRUST,0.46057289052857,0.06142465047119272,0.0008386447062565674,601.422077922078
BOLTON NHS FOUNDATION TRUST,0.4883730170192656,0.0613369994582816,0.0,429.5829596412556
PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,0.40318437403975216,0.0607076106286941,8.958711516197858e-05,814.8636363636364
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0.3964263088666061,0.0598347871368589,0.00012513460988715144,606.6601941747573
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0.4869810685587625,0.05954803033450732,0.0002977372912528823,2414.576470588235
THE ROYAL WOLVERHAMPTON NHS TRUST,0.48364358035737937,0.058188084471500014,0.0018714451294067696,571.4204545454545
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,0.4522511445366308,0.057752195411729025,0.0,1183.7625
MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0.42379821628037584,0.057435844976518026,0.00272668957014631,541.030487804878
SPIRE MONTEFIORE HOSPITAL,0.5288625556957117,0.05659653596369511,0.004689754689754689,97.45454545454545
EAST CHESHIRE NHS TRUST,0.48984072689643454,0.056264019712278714,0.0005765605172291866,431.57798165137615
DARTFORD AND GRAVESHAM NHS TRUST,0.39244339628251673,0.05504806594298246,4.188413111988316e-05,650.581560283688
SPIRE WASHINGTON HOSPITAL,0.3384046263747303,0.05476883491020835,0.002351452984731985,111.6842105263158
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.42574398624562004,0.054708670899227416,0.0006557406073265456,298.9895104895105
WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,0.43993465551926836,0.05382016970001143,5.690461921445695e-05,375.2155172413793
UNIVERSITY OF SOUTHAMPTON AUDITORY IMPLANT SERVICE,0.27531387027384796,0.05350221312153553,0.0,25.625
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,0.43892946273671346,0.05312410205318196,0.0,734.2307692307693
SPIRE WELLESLEY HOSPITAL,0.5108969806967123,0.05264599116314256,0.0024528342896887496,103.48571428571428
"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0.4616834474496095,0.051830529135886164,0.00025689837833127726,325.97938144329896
ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,0.4854029889939593,0.051793563303162,0.0013371859731591133,550.5536480686695
FRIMLEY HEALTH NHS FOUNDATION TRUST,0.452913516469206,0.05146459297455328,5.614022656437204e-06,612.0249221183801
ROYAL FREE LONDON NHS FOUNDATION TRUST,0.47051053937862775,0.05141957277851366,0.00030045831045929394,756.1721132897603
